Time [s],Channel 0,Channel 1,Channel 2
2025-09-21T17:21:31.399187320+00:00,1,1,1
2025-09-21T17:21:31.399204680+00:00,0,1,1
2025-09-21T17:21:31.399213360+00:00,1,1,1
2025-09-21T17:21:31.399222040+00:00,0,1,1
2025-09-21T17:21:31.399230720+00:00,1,1,1
2025-09-21T17:21:31.399248080+00:00,0,1,1
2025-09-21T17:21:31.399256760+00:00,1,1,1
2025-09-21T17:21:31.399274120+00:00,0,1,1
2025-09-21T17:21:31.399300160+00:00,1,1,1
2025-09-21T17:21:31.399308840+00:00,0,1,1
2025-09-21T17:21:31.399317480+00:00,1,1,1
2025-09-21T17:21:31.399334880+00:00,0,1,1
2025-09-21T17:21:31.399343520+00:00,1,1,1
2025-09-21T17:21:31.399360880+00:00,0,1,1
2025-09-21T17:21:31.399369560+00:00,1,1,1
2025-09-21T17:21:31.399378240+00:00,0,1,1
2025-09-21T17:21:31.399386920+00:00,1,1,1
2025-09-21T17:21:31.399395600+00:00,0,1,1
2025-09-21T17:21:31.399439000+00:00,1,1,1
2025-09-21T17:21:31.399456360+00:00,0,1,1
2025-09-21T17:21:31.399473720+00:00,1,1,1
2025-09-21T17:21:31.399482400+00:00,0,1,1
2025-09-21T17:21:31.399491040+00:00,1,1,1
2025-09-21T17:21:31.399499760+00:00,0,1,1
2025-09-21T17:21:31.399508400+00:00,1,1,1
2025-09-21T17:21:31.399525760+00:00,0,1,1
2025-09-21T17:21:31.399534440+00:00,1,1,1
2025-09-21T17:21:31.399551800+00:00,0,1,1
2025-09-21T17:21:31.399560480+00:00,1,1,1
2025-09-21T17:21:31.399569160+00:00,0,1,1
2025-09-21T17:21:31.399577840+00:00,1,1,1
2025-09-21T17:21:31.399586520+00:00,0,1,1
2025-09-21T17:21:31.399595200+00:00,1,1,1
2025-09-21T17:21:31.399612560+00:00,0,1,1
2025-09-21T17:21:31.399647280+00:00,1,1,1
2025-09-21T17:21:31.399655960+00:00,0,1,1
2025-09-21T17:21:31.399673280+00:00,1,1,1
2025-09-21T17:21:31.399682000+00:00,0,1,1
2025-09-21T17:21:31.399690640+00:00,1,1,1
2025-09-21T17:21:31.399699320+00:00,0,1,1
2025-09-21T17:21:31.399734040+00:00,1,1,1
2025-09-21T17:21:31.399742720+00:00,0,1,1
2025-09-21T17:21:31.399751400+00:00,1,1,1
2025-09-21T17:21:31.399768760+00:00,0,1,1
2025-09-21T17:21:31.399777440+00:00,1,1,1
2025-09-21T17:21:31.399794800+00:00,0,1,1
2025-09-21T17:21:31.399803480+00:00,1,1,1
2025-09-21T17:21:31.399812160+00:00,0,1,1
2025-09-21T17:21:31.399820840+00:00,1,1,1
2025-09-21T17:21:31.399829520+00:00,0,1,1
2025-09-21T17:21:31.399872880+00:00,1,1,1
2025-09-21T17:21:31.399890240+00:00,0,1,1
2025-09-21T17:21:31.399907600+00:00,1,1,1
2025-09-21T17:21:31.399916280+00:00,0,1,1
2025-09-21T17:21:31.399959680+00:00,1,1,1
2025-09-21T17:21:31.399977040+00:00,0,1,1
2025-09-21T17:21:31.399994400+00:00,1,1,1
2025-09-21T17:21:31.400003080+00:00,0,1,1
2025-09-21T17:21:31.400020400+00:00,1,1,1
2025-09-21T17:21:31.400029120+00:00,0,1,1
2025-09-21T17:21:31.400037760+00:00,1,1,1
2025-09-21T17:21:31.400063800+00:00,0,1,1
2025-09-21T17:21:31.400081160+00:00,1,1,1
2025-09-21T17:21:31.400089840+00:00,0,1,1
2025-09-21T17:21:31.400133240+00:00,1,1,1
2025-09-21T17:21:31.400150600+00:00,0,1,1
2025-09-21T17:21:31.400167960+00:00,1,1,1
2025-09-21T17:21:31.400176640+00:00,0,1,1
2025-09-21T17:21:31.400220000+00:00,1,1,1
2025-09-21T17:21:31.400237360+00:00,0,1,1
2025-09-21T17:21:31.400254720+00:00,1,1,1
2025-09-21T17:21:31.400263400+00:00,0,1,1
2025-09-21T17:21:31.400280760+00:00,1,1,1
2025-09-21T17:21:31.400289440+00:00,0,1,1
2025-09-21T17:21:31.400298120+00:00,1,1,1
2025-09-21T17:21:31.400324160+00:00,0,1,1
2025-09-21T17:21:31.400341520+00:00,1,1,1
2025-09-21T17:21:31.400350200+00:00,0,1,1
2025-09-21T17:21:31.400393560+00:00,1,1,1
2025-09-21T17:21:31.400410920+00:00,0,1,1
2025-09-21T17:21:31.400428280+00:00,1,1,1
2025-09-21T17:21:31.400436960+00:00,0,1,1
2025-09-21T17:21:31.400454320+00:00,1,1,1
2025-09-21T17:21:31.400463000+00:00,0,1,1
2025-09-21T17:21:31.400480360+00:00,1,1,1
2025-09-21T17:21:31.400497720+00:00,0,1,1
2025-09-21T17:21:31.400515080+00:00,1,1,1
2025-09-21T17:21:31.400523760+00:00,0,1,1
2025-09-21T17:21:31.400541080+00:00,1,1,1
2025-09-21T17:21:31.400567120+00:00,0,1,1
2025-09-21T17:21:31.400575800+00:00,1,1,1
2025-09-21T17:21:31.400584480+00:00,0,1,1
2025-09-21T17:21:31.400601840+00:00,1,1,1
2025-09-21T17:21:31.400610520+00:00,0,1,1
2025-09-21T17:21:31.400619200+00:00,1,1,1
2025-09-21T17:21:31.400627880+00:00,0,1,1
2025-09-21T17:21:31.400653920+00:00,1,1,1
2025-09-21T17:21:31.400671280+00:00,0,1,1
2025-09-21T17:21:31.400688640+00:00,1,1,1
2025-09-21T17:21:31.400697320+00:00,0,1,1
2025-09-21T17:21:31.400705960+00:00,1,1,1
2025-09-21T17:21:31.400714680+00:00,0,1,1
2025-09-21T17:21:31.400723320+00:00,1,1,1
2025-09-21T17:21:31.400732000+00:00,0,1,1
2025-09-21T17:21:31.400740680+00:00,1,1,1
2025-09-21T17:21:31.400758040+00:00,0,1,1
2025-09-21T17:21:31.400775400+00:00,1,1,1
2025-09-21T17:21:31.400784080+00:00,0,1,1
2025-09-21T17:21:31.400801440+00:00,1,1,1
2025-09-21T17:21:31.400818800+00:00,0,1,1
2025-09-21T17:21:31.400827480+00:00,1,1,1
2025-09-21T17:21:31.400844840+00:00,0,1,1
2025-09-21T17:21:31.400862200+00:00,1,1,1
2025-09-21T17:21:31.400870880+00:00,0,1,1
2025-09-21T17:21:31.400896880+00:00,1,1,1
2025-09-21T17:21:31.400914240+00:00,0,1,1
2025-09-21T17:21:31.400922920+00:00,1,1,1
2025-09-21T17:21:31.400931600+00:00,0,1,1
2025-09-21T17:21:31.400948960+00:00,1,1,1
2025-09-21T17:21:31.400957640+00:00,0,1,1
2025-09-21T17:21:31.401001040+00:00,1,1,1
2025-09-21T17:21:31.401018400+00:00,0,1,1
2025-09-21T17:21:31.401035760+00:00,1,1,1
2025-09-21T17:21:31.401044440+00:00,0,1,1
2025-09-21T17:21:31.401087800+00:00,1,1,1
2025-09-21T17:21:31.401105160+00:00,0,1,1
2025-09-21T17:21:31.401122520+00:00,1,1,1
2025-09-21T17:21:31.401131200+00:00,0,1,1
2025-09-21T17:21:31.401174600+00:00,1,1,1
2025-09-21T17:21:31.401191960+00:00,0,1,1
2025-09-21T17:21:31.401209280+00:00,1,1,1
2025-09-21T17:21:31.401218000+00:00,0,1,1
2025-09-21T17:21:31.401226640+00:00,1,1,1
2025-09-21T17:21:31.401235360+00:00,0,1,1
2025-09-21T17:21:31.401244000+00:00,1,1,1
2025-09-21T17:21:31.401270040+00:00,0,1,1
2025-09-21T17:21:31.401278720+00:00,1,1,1
2025-09-21T17:21:31.401287400+00:00,0,1,1
2025-09-21T17:21:31.401296080+00:00,1,1,1
2025-09-21T17:21:31.401304760+00:00,0,1,1
2025-09-21T17:21:31.401356840+00:00,1,1,1
2025-09-21T17:21:31.401365520+00:00,0,1,1
2025-09-21T17:21:31.401382880+00:00,1,1,1
2025-09-21T17:21:31.401391560+00:00,0,1,1
2025-09-21T17:21:31.401400200+00:00,1,1,1
2025-09-21T17:21:31.401417560+00:00,0,1,1
2025-09-21T17:21:31.401426240+00:00,1,1,1
2025-09-21T17:21:31.401443600+00:00,0,1,1
2025-09-21T17:21:31.401469640+00:00,1,1,1
2025-09-21T17:21:31.401478320+00:00,0,1,1
2025-09-21T17:21:31.401487000+00:00,1,1,1
2025-09-21T17:21:31.401504360+00:00,0,1,1
2025-09-21T17:21:31.401513040+00:00,1,1,1
2025-09-21T17:21:31.401530400+00:00,0,1,1
2025-09-21T17:21:31.401539080+00:00,1,1,1
2025-09-21T17:21:31.401547760+00:00,0,1,1
2025-09-21T17:21:31.401556440+00:00,1,1,1
2025-09-21T17:21:31.401565120+00:00,0,1,1
2025-09-21T17:21:31.401608480+00:00,1,1,1
2025-09-21T17:21:31.401625840+00:00,0,1,1
2025-09-21T17:21:31.401643200+00:00,1,1,1
2025-09-21T17:21:31.401651880+00:00,0,1,1
2025-09-21T17:21:31.401660560+00:00,1,1,1
2025-09-21T17:21:31.401669240+00:00,0,1,1
2025-09-21T17:21:31.401677920+00:00,1,1,1
2025-09-21T17:21:31.401695280+00:00,0,1,1
2025-09-21T17:21:31.401703960+00:00,1,1,1
2025-09-21T17:21:31.401721320+00:00,0,1,1
2025-09-21T17:21:31.401730000+00:00,1,1,1
2025-09-21T17:21:31.401738680+00:00,0,1,1
2025-09-21T17:21:31.401764680+00:00,1,1,1
2025-09-21T17:21:31.401799400+00:00,0,1,1
2025-09-21T17:21:31.401816760+00:00,1,1,1
2025-09-21T17:21:31.401825440+00:00,0,1,1
2025-09-21T17:21:31.401834120+00:00,1,1,1
2025-09-21T17:21:31.401842800+00:00,0,1,1
2025-09-21T17:21:31.401860160+00:00,1,1,1
2025-09-21T17:21:31.401868840+00:00,0,1,1
2025-09-21T17:21:31.401877520+00:00,1,1,1
2025-09-21T17:21:31.401894880+00:00,0,1,1
2025-09-21T17:21:31.401903520+00:00,1,1,1
2025-09-21T17:21:31.401912240+00:00,0,1,1
2025-09-21T17:21:31.401929560+00:00,1,1,1
2025-09-21T17:21:31.401955600+00:00,0,1,1
2025-09-21T17:21:31.401964280+00:00,1,1,1
2025-09-21T17:21:31.401981640+00:00,0,1,1
2025-09-21T17:21:31.401990320+00:00,1,1,1
2025-09-21T17:21:31.401999000+00:00,0,1,1
2025-09-21T17:21:31.402016360+00:00,1,1,1
2025-09-21T17:21:31.402033720+00:00,0,1,1
2025-09-21T17:21:31.402051080+00:00,1,1,1
2025-09-21T17:21:31.402068440+00:00,0,1,1
2025-09-21T17:21:31.402077080+00:00,1,1,1
2025-09-21T17:21:31.402085800+00:00,0,1,1
2025-09-21T17:21:31.402103120+00:00,1,1,1
2025-09-21T17:21:31.402146520+00:00,0,1,1
2025-09-21T17:21:31.402163880+00:00,1,1,1
2025-09-21T17:21:31.402172560+00:00,0,1,1
2025-09-21T17:21:31.402224640+00:00,1,1,1
2025-09-21T17:21:31.402233320+00:00,0,1,1
2025-09-21T17:21:31.402250640+00:00,1,1,1
2025-09-21T17:21:31.402259360+00:00,0,1,1
2025-09-21T17:21:31.402268000+00:00,1,1,1
2025-09-21T17:21:31.402285360+00:00,0,1,1
2025-09-21T17:21:31.402302720+00:00,1,1,1
2025-09-21T17:21:31.402328760+00:00,0,1,1
2025-09-21T17:21:31.402337440+00:00,1,1,1
2025-09-21T17:21:31.402346120+00:00,0,1,1
2025-09-21T17:21:31.402354800+00:00,1,1,1
2025-09-21T17:21:31.402363480+00:00,0,1,1
2025-09-21T17:21:31.402372160+00:00,1,1,1
2025-09-21T17:21:31.402380840+00:00,0,1,1
2025-09-21T17:21:31.402398200+00:00,1,1,1
2025-09-21T17:21:31.402415560+00:00,0,1,1
2025-09-21T17:21:31.402424200+00:00,1,1,1
2025-09-21T17:21:31.402432920+00:00,0,1,1
2025-09-21T17:21:31.402450240+00:00,1,1,1
2025-09-21T17:21:31.402476280+00:00,0,1,1
2025-09-21T17:21:31.402484960+00:00,1,1,1
2025-09-21T17:21:31.402502320+00:00,0,1,1
2025-09-21T17:21:31.402511000+00:00,1,1,1
2025-09-21T17:21:31.402519680+00:00,0,1,1
2025-09-21T17:21:31.402528360+00:00,1,1,1
2025-09-21T17:21:31.402545720+00:00,0,1,1
2025-09-21T17:21:31.402563080+00:00,1,1,1
2025-09-21T17:21:31.402589120+00:00,0,1,1
2025-09-21T17:21:31.402597800+00:00,1,1,1
2025-09-21T17:21:31.402606480+00:00,0,1,1
2025-09-21T17:21:31.402615120+00:00,1,1,1
2025-09-21T17:21:31.402649840+00:00,0,1,1
2025-09-21T17:21:31.402658520+00:00,1,1,1
2025-09-21T17:21:31.402675880+00:00,0,1,1
2025-09-21T17:21:31.402684560+00:00,1,1,1
2025-09-21T17:21:31.402693240+00:00,0,1,1
2025-09-21T17:21:31.402710600+00:00,1,1,1
2025-09-21T17:21:31.402719280+00:00,0,1,1
2025-09-21T17:21:31.402736640+00:00,1,1,1
2025-09-21T17:21:31.402762680+00:00,0,1,1
2025-09-21T17:21:31.402771320+00:00,1,1,1
2025-09-21T17:21:31.402780040+00:00,0,1,1
2025-09-21T17:21:31.402788680+00:00,1,1,1
2025-09-21T17:21:31.402806040+00:00,0,1,1
2025-09-21T17:21:31.402823400+00:00,1,1,1
2025-09-21T17:21:31.402849440+00:00,0,1,1
2025-09-21T17:21:31.402858120+00:00,1,1,1
2025-09-21T17:21:31.402866800+00:00,0,1,1
2025-09-21T17:21:31.402884160+00:00,1,1,1
2025-09-21T17:21:31.402892840+00:00,0,1,1
2025-09-21T17:21:31.402901520+00:00,1,1,1
2025-09-21T17:21:31.402927560+00:00,0,1,1
2025-09-21T17:21:31.402944880+00:00,1,1,1
2025-09-21T17:21:31.402953600+00:00,0,1,1
2025-09-21T17:21:31.403005640+00:00,1,1,1
2025-09-21T17:21:31.403014320+00:00,0,1,1
2025-09-21T17:21:31.403031680+00:00,1,1,1
2025-09-21T17:21:31.403040360+00:00,0,1,1
2025-09-21T17:21:31.403049040+00:00,1,1,1
2025-09-21T17:21:31.403057720+00:00,0,1,1
2025-09-21T17:21:31.403075080+00:00,1,1,1
2025-09-21T17:21:31.403083760+00:00,0,1,1
2025-09-21T17:21:31.403101120+00:00,1,1,1
2025-09-21T17:21:31.403109800+00:00,0,1,1
2025-09-21T17:21:31.403118440+00:00,1,1,1
2025-09-21T17:21:31.403127160+00:00,0,1,1
2025-09-21T17:21:31.403144480+00:00,1,1,1
2025-09-21T17:21:31.403170520+00:00,0,1,1
2025-09-21T17:21:31.403179200+00:00,1,1,1
2025-09-21T17:21:31.403196560+00:00,0,1,1
2025-09-21T17:21:31.403205240+00:00,1,1,1
2025-09-21T17:21:31.403213920+00:00,0,1,1
2025-09-21T17:21:31.403222600+00:00,1,1,1
2025-09-21T17:21:31.403231280+00:00,0,1,1
2025-09-21T17:21:31.403248640+00:00,1,1,1
2025-09-21T17:21:31.403257320+00:00,0,1,1
2025-09-21T17:21:31.403266000+00:00,1,1,1
2025-09-21T17:21:31.403283360+00:00,0,1,1
2025-09-21T17:21:31.403292000+00:00,1,1,1
2025-09-21T17:21:31.403300720+00:00,0,1,1
2025-09-21T17:21:31.403326720+00:00,1,1,1
2025-09-21T17:21:31.403335400+00:00,0,1,1
2025-09-21T17:21:31.403344080+00:00,1,1,1
2025-09-21T17:21:31.403370120+00:00,0,1,1
2025-09-21T17:21:31.403378800+00:00,1,1,1
2025-09-21T17:21:31.403387480+00:00,0,1,1
2025-09-21T17:21:31.403396160+00:00,1,1,1
2025-09-21T17:21:31.403404840+00:00,0,1,1
2025-09-21T17:21:31.403422200+00:00,1,1,1
2025-09-21T17:21:31.403430880+00:00,0,1,1
2025-09-21T17:21:31.403439560+00:00,1,1,1
2025-09-21T17:21:31.403456920+00:00,0,1,1
2025-09-21T17:21:31.403465560+00:00,1,1,1
2025-09-21T17:21:31.403474280+00:00,0,1,1
2025-09-21T17:21:31.403482920+00:00,1,1,1
2025-09-21T17:21:31.403491600+00:00,0,1,1
